Model,Model_Type,Raw_RMSE,PhaseWarp_RMSE,RMSE_Improve,RMSE_Improve_Pct,Raw_MAE,PhaseWarp_MAE,MAE_Improve,MAE_Improve_Pct,Raw_R2,PhaseWarp_R2,R2_Gain,R2_Error_Reduction_Rate,Raw_SMAPE,PhaseWarp_SMAPE,SMAPE_Improve,SMAPE_Improve_Pct
Pyraformer,纯时间序列,3.9756,3.1405,0.8351,21.01,2.6740,2.0073,0.6667,24.93,0.5587,0.7246,0.1659,0.375935,68.28,63.78,4.50,6.59
NHITS,纯时间序列,4.0593,3.4069,0.6524,16.07,2.7763,2.1393,0.6370,22.94,0.5399,0.6759,0.1360,0.295588,69.35,58.75,10.60,15.28
Autoformer,纯时间序列,4.0571,3.4326,0.6245,15.39,2.8544,2.2415,0.6129,21.47,0.5404,0.6710,0.1306,0.284160,71.59,70.32,1.27,1.77
NBEATS,纯时间序列,3.6325,3.0787,0.5538,15.25,2.3923,2.1180,0.2743,11.47,0.6315,0.7353,0.1038,0.281682,64.70,62.18,2.52,3.89
DLinear,纯时间序列,4.2104,3.7157,0.4947,11.75,2.8001,2.5029,0.2972,10.61,0.5050,0.6145,0.1095,0.221212,70.25,78.27,-8.02,-11.42
Informer,纯时间序列,3.8995,3.4266,0.4729,12.13,2.5715,2.3148,0.2567,9.98,0.5754,0.6721,0.0967,0.227744,67.49,68.16,-0.67,-0.99
TimeMixer,纯时间序列,3.9161,3.4862,0.4299,10.98,2.6191,2.2390,0.3801,14.51,0.5718,0.6606,0.0888,0.207380,69.80,69.20,0.60,0.86
ETSformer,纯时间序列,4.0402,3.6128,0.4274,10.58,2.8793,2.4887,0.3906,13.57,0.5442,0.6355,0.0913,0.200307,71.86,70.86,1.00,1.39
ConvLSTM,时空模型,1.5225,1.1195,0.4030,26.47,0.9452,0.6634,0.2818,29.81,0.9353,0.9650,0.0297,0.459042,30.98,21.77,9.21,29.73
TSMixer,纯时间序列,3.1695,2.9136,0.2559,8.07,1.9605,1.7197,0.2408,12.28,0.7195,0.7630,0.0435,0.155080,51.35,50.88,0.47,0.92
TimeXer,纯时间序列,4.3340,4.1154,0.2186,5.04,3.1218,2.7406,0.3812,12.21,0.4755,0.5271,0.0516,0.098379,73.92,73.71,0.21,0.28
PredRNNv2,时空模型,1.2448,1.0449,0.1999,16.06,0.7899,0.6199,0.1700,21.52,0.9567,0.9695,0.0128,0.295612,27.06,20.98,6.08,22.47
Crossformer,纯时间序列,4.6866,4.5462,0.1404,3.00,3.3551,3.1938,0.1613,4.81,0.3867,0.4229,0.0362,0.059025,79.31,75.88,3.43,4.32
MAU,时空模型,1.1589,1.0222,0.1367,11.80,0.7140,0.6174,0.0966,13.53,0.9625,0.9708,0.0083,0.221333,22.45,19.63,2.82,12.56
FEDformer,纯时间序列,3.9601,3.8351,0.1250,3.16,2.8280,2.5894,0.2386,8.44,0.5621,0.5893,0.0272,0.062115,71.30,68.94,2.36,3.31
PredRNNPP,时空模型,1.0726,0.9739,0.0987,9.20,0.6519,0.5795,0.0724,11.11,0.9679,0.9735,0.0056,0.174455,21.54,19.88,1.66,7.71
iTransformer,纯时间序列,4.0319,3.9752,0.0567,1.41,2.8145,2.7037,0.1108,3.94,0.5461,0.5588,0.0127,0.027980,70.10,76.31,-6.21,-8.86
Earthformer,时空模型,1.9276,1.8818,0.0458,2.38,1.1500,1.1241,0.0259,2.25,0.8963,0.9011,0.0048,0.046287,34.96,33.63,1.33,3.80
SimVP,时空模型,0.9656,0.9445,0.0211,2.19,0.5570,0.5463,0.0107,1.92,0.9740,0.9751,0.0011,0.042308,16.97,16.24,0.73,4.30
PatchTST,纯时间序列,4.9508,5.3373,-0.3865,-7.81,3.6626,3.5293,0.1333,3.64,0.3156,0.2046,-0.1110,-0.162186,82.60,84.17,-1.57,-1.90
