model_name,model_type,weight_file,total_params,total_params_million,param_count_rank,RMSE_improve,RMSE_improve_rank,MSE_improve,MSE_improve_rank,R2_gain,R2_gain_rank,R2_error_reduction_rate,R2_error_reduction_rate_rank,SMAPE_improve,SMAPE_improve_rank,W_min,W_min_rank,W_mean,W_mean_rank,W_abs_mean,W_abs_mean_rank,W_max,W_max_rank,B_min,B_min_rank,B_mean,B_mean_rank,B_abs_mean,B_abs_mean_rank,B_max,B_max_rank,K_min,K_min_rank,K_mean,K_mean_rank,K_abs_mean,K_abs_mean_rank,K_max,K_max_rank,metrics_log_file
simvp,时空模型,simvp_phasewarp.pth,5858849,5.858849,1,0.021100000000000008,19,0.040303109999999975,19,0.0010999999999999899,19,0.04230769230769188,18,0.7300000000000004,13,-0.8189578652381897,14,0.8470650911331177,14,0.8615987300872803,14,2.272965431213379,13,-1.0037837028503418,10,-0.008007857017219067,10,0.1545616239309311,18,1.0491701364517212,7,-0.804205060005188,11,-0.018797617405653,14,0.16560254991054535,20,0.9030519723892212,11,SimVP_PhaseWarp_Compare.txt
predrnnpp,时空模型,predrnnpp_phasewarp.pth,677315,0.677315,2,0.09870000000000001,16,0.20198954999999996,17,0.005600000000000049,17,0.17445482866043757,12,1.6600000000000001,9,-0.894679069519043,15,0.8031216263771057,18,0.8166992664337158,19,2.231931686401367,14,-1.2497446537017822,14,-0.03037153370678425,14,0.20656955242156982,15,1.0105111598968506,8,-0.9847390055656433,17,-0.01954052597284317,15,0.20032179355621338,16,0.9108923077583313,10,PredRNNPP_PhaseWarp_Compare.txt
mau,时空模型,mau_phasewarp.pth,510851,0.510851,3,0.13670000000000004,14,0.29815637000000006,16,0.008299999999999974,16,0.22133333333333277,8,2.8200000000000003,6,-1.227094054222107,19,0.7544187307357788,20,0.7694304585456848,20,2.8087878227233887,7,-1.3405094146728516,15,-0.013693236745893955,12,0.22639289498329163,13,1.5325384140014648,3,-0.9799891114234924,16,-0.0288383848965168,17,0.22778019309043884,14,0.9870909452438354,5,MAU_PhaseWarp_Compare.txt
earthformer,时空模型,earthformer_phasewarp.pth,434541,0.434541,4,0.04580000000000006,18,0.1744705200000003,18,0.0048000000000000265,18,0.04628736740597903,17,1.3299999999999983,10,-0.9218132495880127,16,0.8475848436355591,13,0.8703055381774902,13,2.3528871536254883,10,-1.1883255243301392,13,-0.01244442816823721,11,0.15038122236728668,19,0.9028133749961853,11,-0.8434756398200989,12,-0.01068114209920168,13,0.16966554522514343,19,0.8847940564155579,12,Earthformer_PhaseWarp_Compare.txt
predrnnv2,时空模型,predrnnv2_phasewarp.pth,323747,0.323747,5,0.19989999999999997,12,0.45771103,14,0.012800000000000034,14,0.295612009237876,3,6.079999999999998,3,-0.9339594841003418,17,0.8367704153060913,15,0.8513566851615906,15,2.2952733039855957,11,-1.5289000272750854,17,-0.03171718120574951,15,0.2113819569349289,14,1.1041319370269775,6,-0.9858412742614746,18,-0.03739631175994873,18,0.21247133612632751,15,0.9758149981498718,7,PredRNNv2_PhaseWarp_Compare.txt
nbeats,纯时间序列,nbeats_phasewarp.pth,240381,0.240381,6,0.5537999999999998,4,3.716662559999998,5,0.1038,5,0.2816824966078697,6,2.520000000000003,7,0.22722357511520386,5,2.057098627090454,4,2.057098627090454,4,4.718816757202148,3,-1.175148844718933,12,0.09900759160518646,4,0.4137488305568695,6,0.8991590738296509,12,-0.7824077606201172,10,0.24293845891952515,5,0.5798054337501526,4,0.9990817904472351,1,NBEATS_PhaseWarp_Compare.txt
pyraformer,纯时间序列,pyraformer_phasewarp.pth,219264,0.219264,7,0.8351000000000002,1,5.9426551100000005,1,0.16590000000000005,1,0.37593473827328355,2,4.5,4,0.005209438037127256,8,0.821427583694458,17,0.821427583694458,17,2.4663774967193604,9,-0.7207571864128113,9,0.30303382873535156,1,0.5863476395606995,3,2.640535354614258,1,-0.9910046458244324,20,-0.06453455239534378,19,0.48416170477867126,6,0.7978383302688599,15,Pyraformer_PhaseWarp_Compare.txt
crossformer,纯时间序列,crossformer_phasewarp.pth,209211,0.209211,8,0.14040000000000052,13,1.2962851200000038,11,0.03620000000000001,11,0.05902494700798958,16,3.430000000000007,5,0.45879125595092773,2,0.9944943189620972,9,0.9944943189620972,10,1.6043181419372559,16,-0.4734427332878113,5,-0.028905799612402916,13,0.17535604536533356,17,0.33970052003860474,18,-0.13617371022701263,1,0.16226348280906677,7,0.1986646056175232,17,0.635260283946991,17,Crossformer_PhaseWarp_Compare.txt
convlstm,时空模型,convlstm_phasewarp.pth,191299,0.191299,9,0.403,9,1.064726,12,0.02969999999999995,12,0.45904173106645996,1,9.21,2,-1.1476452350616455,18,0.8308959603309631,16,0.8447858691215515,16,2.867180347442627,6,-1.9876552820205688,20,-0.059773825109004974,16,0.29401156306266785,11,1.6170600652694702,2,-0.988304853439331,19,-0.025834564119577408,16,0.24918188154697418,12,0.9884545803070068,4,ConvLSTM_PhaseWarp_Compare.txt
nhits,纯时间序列,nhits_phasewarp.pth,172199,0.172199,10,0.6524000000000005,2,4.870948880000004,2,0.1359999999999999,2,0.29558791567050624,4,10.599999999999994,1,0.016565313562750816,7,2.098015785217285,3,2.098015785217285,3,5.4158735275268555,2,-1.5787383317947388,18,0.12039191275835037,3,0.7356544733047485,1,1.4221636056900024,4,-0.7251856327056885,9,0.4436275362968445,1,0.6540343165397644,1,0.998532772064209,2,NHITS_PhaseWarp_Compare.txt
timexer,纯时间序列,timexer_phasewarp.pth,135144,0.135144,11,0.21859999999999946,11,1.8470388399999962,9,0.051600000000000035,9,0.09837940896091522,14,0.21000000000000796,16,-0.08175832778215408,11,0.8955481648445129,12,0.913716733455658,12,1.234540343284607,20,-0.092463918030262,1,0.040822625160217285,8,0.0915633961558342,20,0.1959313303232193,20,-0.34826987981796265,4,-0.14562734961509705,20,0.17603957653045654,18,0.1368550807237625,20,TimeXer_PhaseWarp_Compare.txt
informer,纯时间序列,informer_phasewarp.pth,83904,0.083904,12,0.4729000000000001,6,3.464512690000001,6,0.09670000000000001,6,0.22774375883184175,7,-0.6700000000000017,17,0.17274369299411774,6,2.2028775215148926,2,2.2028775215148926,2,4.062803745269775,4,-0.6292459964752197,7,0.005507234018296003,9,0.42072510719299316,5,0.8279916048049927,14,-0.9479758739471436,15,0.06456971913576126,9,0.599804699420929,3,0.8000637888908386,14,Informer_PhaseWarp_Compare.txt
autoformer,纯时间序列,autoformer_phasewarp.pth,68358,0.068358,13,0.6245000000000003,3,4.677317650000001,3,0.13060000000000005,3,0.28416013925152317,5,1.2700000000000102,11,-0.19807563722133636,12,0.7743263840675354,19,0.8183431625366211,18,1.2645399570465088,19,-0.6711257100105286,8,-0.2799006998538971,20,0.37119489908218384,8,0.4108237624168396,17,-0.8724409341812134,13,0.0038146977312862873,12,0.5230205059051514,5,0.9870391488075256,6,Autoformer_PhaseWarp_Compare.txt
itransformer,纯时间序列,itransformer_phasewarp.pth,68072,0.068072,14,0.056700000000000195,17,0.45400257000000366,15,0.012699999999999934,15,0.027979731218329883,19,-6.210000000000008,19,0.7441014647483826,1,1.3657974004745483,7,1.3657974004745483,8,1.73465096950531,15,-0.5548135042190552,6,0.04520063474774361,7,0.34459245204925537,9,0.7236284017562866,15,-0.25313085317611694,2,0.0958193838596344,8,0.2409866452217102,13,0.5712673664093018,19,iTransformer_PhaseWarp_Compare.txt
patchtst,纯时间序列,patchtst_phasewarp.pth,67944,0.067944,15,-0.38649999999999984,20,-3.9763506500000005,20,-0.11099999999999999,20,-0.16218585622443013,20,-1.5700000000000074,18,0.4520648717880249,3,1.0242177248001099,8,1.0242177248001099,9,1.4864230155944824,17,-0.3912806510925293,2,-0.0880267545580864,18,0.19845575094223022,16,0.2624340355396271,19,-0.6725988984107971,8,0.01213252916932106,11,0.29241427779197693,11,0.6485539078712463,16,PatchTST_PhaseWarp_Compare.txt
etsformer,纯时间序列,etsformer_phasewarp.pth,37132,0.037132,16,0.42739999999999956,8,3.270892199999995,7,0.09129999999999994,7,0.20030715225976292,11,1.0,12,-0.6953210830688477,13,1.5418436527252197,5,1.696359395980835,6,2.703289747238159,8,-1.6065248250961304,19,-0.06626662611961365,17,0.40874695777893066,7,0.5481238961219788,16,-0.503051221370697,6,0.32715001702308655,4,0.44078466296195984,7,0.9344852566719055,8,ETSformer_PhaseWarp_Compare.txt
fedformer,纯时间序列,fedformer_phasewarp.pth,36102,0.036102,17,0.125,15,0.9743999999999993,13,0.027200000000000002,13,0.06211463804521581,15,2.3599999999999994,8,-3.8385910987854004,20,0.9360435009002686,11,1.789063572883606,5,2.2875659465789795,12,-0.3968648612499237,3,0.06794103980064392,6,0.3342367112636566,10,1.0044639110565186,9,-0.3281403183937073,3,0.3440614938735962,3,0.4270647466182709,8,0.9256437420845032,9,FEDformer_PhaseWarp_Compare.txt
timemixer,纯时间序列,timemixer_phasewarp.pth,35219,0.035219,18,0.42989999999999995,7,3.1822487699999993,8,0.08879999999999999,8,0.20737972909855204,10,0.5999999999999943,14,-0.0812934935092926,10,2.3589324951171875,1,2.376997709274292,1,5.546592712402344,1,-1.3918522596359253,16,-0.2318951040506363,19,0.4746752381324768,4,0.8611162304878235,13,-0.6109713912010193,7,0.37981492280960083,2,0.6377583742141724,2,0.9922425746917725,3,TimeMixer_PhaseWarp_Compare.txt
tsmixer,纯时间序列,tsmixer_phasewarp.pth,3401,0.003401,19,0.2559,10,1.5566652900000015,10,0.04349999999999998,10,0.15508021390374327,13,0.46999999999999886,15,0.2556266188621521,4,0.9471074342727661,10,0.9471074342727661,11,1.3708932399749756,18,-0.4374828040599823,4,0.1473514437675476,2,0.2891808748245239,12,0.9687554240226746,10,-0.44523176550865173,5,0.02088940143585205,10,0.2966412603855133,10,0.6132611036300659,18,TSMixer_PhaseWarp_Compare.txt
dlinear,纯时间序列,dlinear_phasewarp.pth,979,0.000979,20,0.4946999999999999,5,3.921041670000001,4,0.10950000000000004,4,0.2212121212121213,9,-8.019999999999996,20,-0.027656495571136475,9,1.450157880783081,6,1.4563037157058716,7,3.372673273086548,5,-1.0339263677597046,11,0.07198531925678253,5,0.6657142043113708,2,1.159243106842041,5,-0.8885822296142578,14,0.19101077318191528,6,0.4231169521808624,9,0.8840839862823486,13,DLinear_PhaseWarp_Compare.txt
