subset_tag	active_uvst	raw_rmse	phase_rmse	rmse_improve	raw_mae	phase_mae	raw_r2	phase_r2	raw_smape	phase_smape
o3only	()	1.239192	1.006381	0.232812	0.766959	0.594134	0.957122	0.971720	0.255522	0.191711
o3_t	T	1.463145	1.015320	0.447825	0.845993	0.609542	0.940223	0.971215	0.260523	0.200062
o3_s	S	1.163877	1.020283	0.143594	0.708745	0.622561	0.962175	0.970933	0.231014	0.204905
o3_v	V	1.247314	1.028845	0.218469	0.771318	0.618345	0.956558	0.970443	0.253332	0.204107
o3_u	U	1.551128	1.059104	0.492024	0.878264	0.638032	0.932817	0.968679	0.271123	0.205318
o3_st	S,T	1.191613	1.027031	0.164582	0.736058	0.602078	0.960351	0.970547	0.243548	0.196238
o3_vt	V,T	1.636293	1.025206	0.611086	0.927529	0.605360	0.925237	0.970652	0.289679	0.201106
o3_vs	V,S	1.142004	1.025257	0.116747	0.693815	0.607043	0.963584	0.970649	0.227214	0.195903
o3_ut	U,T	1.546011	1.025484	0.520527	0.853433	0.609468	0.933260	0.970636	0.256272	0.199953
o3_us	U,S	1.205234	1.049479	0.155755	0.739891	0.628839	0.959439	0.969245	0.234977	0.202170
o3_uv	U,V	1.519505	1.065690	0.453815	0.871042	0.650437	0.935529	0.968288	0.268097	0.209440
o3_vst	V,S,T	1.200261	1.028798	0.171464	0.754772	0.604131	0.959773	0.970446	0.255533	0.197975
o3_ust	U,S,T	1.242365	1.033476	0.208889	0.790408	0.603340	0.956902	0.970176	0.256353	0.194347
o3_uvt	U,V,T	1.539656	1.040361	0.499295	0.873217	0.624148	0.933807	0.969778	0.262947	0.209285
o3_uvs	U,V,S	1.192701	1.050687	0.142014	0.728463	0.632765	0.960279	0.969175	0.236712	0.213361
o3_uvst	U,V,S,T	1.268226	1.042527	0.225699	0.787966	0.617046	0.955089	0.969652	0.251867	0.199862
